Feature,Importance,Type
age,0.0,Individual
cooking_freq,0.0,Individual
work_type,0.0,Individual
is_parent,0.0,Individual
willingness_change,0.0,Individual
fast_cheap_pref,0.0,Individual
Densidad_por_1000,0.0,Socioeconomic
Diabetes_Pct,0.0,Socioeconomic
Obesidad_Pct,0.0,Socioeconomic
Sobrepeso_Pct,0.0,Socioeconomic
Ingreso_Trimestral_MXN,0.0,Socioeconomic
Gasto_Alimentos_Pct,0.0,Socioeconomic
Indice_Marginacion_Raw,0.0,Socioeconomic
Pct_Urbano,0.0,Socioeconomic
Tasa_Pobreza_Pct,0.0,Socioeconomic
