age,cooking_freq,work_type,is_parent,willingness_change,fast_cheap_pref,junk_food_freq,Estado,Codigo,Poblacion,Abarrotes_DENUE,Densidad_Tiendas_per_1000,Diabetes_Prevalencia,Obesidad_Prevalencia,Sobrepeso_Prevalencia,Ingreso_Promedio_Trimestral,Gasto_Alimentos_Pct,Indice_Marginacion,Grado_Marginacion,Pct_Urbano,Tasa_Pobreza
16,3.5,1,0,1.0,5.0,3.7508982328495435,Chihuahua,CHIH,3741869,42876,11.46,18.9,43.5,39.8,71543,29.8,-0.654,Bajo,84.5,22.3
24,1.5,1,0,1.0,3.0,6.388369313919266,Puebla,PUE,6583278,86160,13.09,17.4,37.8,38.5,52341,33.8,0.789,Alto,72.1,54.0
24,1.5,1,0,1.0,3.0,5.019888268797242,Guanajuato,GTO,6166934,78432,12.72,17.8,39.2,38.1,57892,32.4,0.123,Medio,73.5,38.4
24,1.5,1,0,1.0,4.0,2.6825252065889544,Chihuahua,CHIH,3741869,42876,11.46,18.9,43.5,39.8,71543,29.8,-0.654,Bajo,84.5,22.3
24,1.5,2,0,1.0,4.0,6.419556176746088,Campeche,CAM,928363,12453,13.41,19.2,41.8,38.9,55432,33.4,0.165,Medio,75.3,38.5
24,3.5,2,0,1.0,3.0,4.880476379175119,Guanajuato,GTO,6166934,78432,12.72,17.8,39.2,38.1,57892,32.4,0.123,Medio,73.5,38.4
24,3.5,1,0,1.0,2.0,0.0,Nuevo Leon,NL,5784442,52341,9.05,18.7,42.4,40.2,98452,26.8,-1.483,Muy Bajo,95.0,24.3
24,0.0,1,0,1.0,3.0,6.9767295491705275,Veracruz,VER,8062579,108543,13.46,17.2,37.5,38.4,48345,34.5,1.123,Alto,61.3,51.9
24,1.5,1,0,1.0,3.0,6.10437268787968,Hidalgo,HGO,3082841,40876,13.26,17.9,37.4,38.7,52341,33.5,0.521,Alto,53.2,46.5
24,6.0,1,0,1.0,4.0,5.901113454002346,Hidalgo,HGO,3082841,40876,13.26,17.9,37.4,38.7,52341,33.5,0.521,Alto,53.2,46.5
24,6.0,1,0,1.0,3.0,5.247441415620783,Hidalgo,HGO,3082841,40876,13.26,17.9,37.4,38.7,52341,33.5,0.521,Alto,53.2,46.5
16,1.5,1,0,0.5,1.0,2.247486322379487,Chihuahua,CHIH,3741869,42876,11.46,18.9,43.5,39.8,71543,29.8,-0.654,Bajo,84.5,22.3
24,1.5,1,0,1.0,2.0,2.84373781822533,Sonora,SON,2944840,29854,10.14,19.2,43.5,40.1,72345,29.2,-0.823,Bajo,87.1,27.9
24,1.5,1,0,1.0,2.0,6.192098035521937,Hidalgo,HGO,3082841,40876,13.26,17.9,37.4,38.7,52341,33.5,0.521,Alto,53.2,46.5
24,3.5,1,0,1.0,3.0,4.341959048595124,Guanajuato,GTO,6166934,78432,12.72,17.8,39.2,38.1,57892,32.4,0.123,Medio,73.5,38.4
24,0.0,1,0,0.5,5.0,3.7585410673748996,Queretaro,QRO,2368467,28543,12.05,18.1,40.5,38.2,72134,29.5,-0.832,Bajo,79.8,27.6
16,6.0,1,0,1.0,3.0,4.302285066742559,Guanajuato,GTO,6166934,78432,12.72,17.8,39.2,38.1,57892,32.4,0.123,Medio,73.5,38.4
24,6.0,2,0,1.0,2.0,0.0,Ciudad de Mexico,CDMX,9209944,86227,9.36,17.5,35.7,38.4,98765,27.3,-1.452,Muy Bajo,99.8,21.1
24,6.0,1,0,1.0,3.0,2.002521934154868,Estado de Mexico,EDOMEX,16992418,185069,10.89,18.6,38.4,40.2,68754,31.5,-0.578,Bajo,87.3,40.5
24,1.5,1,0,1.0,2.0,2.1131221516226066,Aguascalientes,AGS,1425607,18234,12.79,18.5,42.3,38.5,69842,30.2,-0.973,Bajo,82.1,21.8
24,1.5,1,0,1.0,3.0,4.640378677536666,Nayarit,NAY,1235456,16234,13.14,17.8,40.1,37.9,55234,32.5,-0.087,Medio,69.3,33.8
24,1.5,2,0,1.0,4.0,3.3520244645919703,Sonora,SON,2944840,29854,10.14,19.2,43.5,40.1,72345,29.2,-0.823,Bajo,87.1,27.9
24,6.0,1,0,1.0,1.0,1.1552037924480758,Queretaro,QRO,2368467,28543,12.05,18.1,40.5,38.2,72134,29.5,-0.832,Bajo,79.8,27.6
24,1.5,2,0,1.0,3.0,5.5626586297590945,Hidalgo,HGO,3082841,40876,13.26,17.9,37.4,38.7,52341,33.5,0.521,Alto,53.2,46.5
24,1.5,0,0,1.0,2.0,6.183768397537089,Puebla,PUE,6583278,86160,13.09,17.4,37.8,38.5,52341,33.8,0.789,Alto,72.1,54.0
35,1.5,2,0,0.0,1.0,4.089594912228355,San Luis Potosi,SLP,2822255,38453,13.63,18.5,40.2,38.5,55456,32.3,0.321,Medio,67.5,34.7
58,3.5,2,0,0.0,2.0,5.198089121002374,Puebla,PUE,6583278,86160,13.09,17.4,37.8,38.5,52341,33.8,0.789,Alto,72.1,54.0
24,6.0,2,0,1.0,3.0,5.882711633588,Veracruz,VER,8062579,108543,13.46,17.2,37.5,38.4,48345,34.5,1.123,Alto,61.3,51.9
24,3.5,2,0,1.0,2.0,0.9754281457307092,Sonora,SON,2944840,29854,10.14,19.2,43.5,40.1,72345,29.2,-0.823,Bajo,87.1,27.9
24,6.0,1,0,1.0,3.0,0.0,Nuevo Leon,NL,5784442,52341,9.05,18.7,42.4,40.2,98452,26.8,-1.483,Muy Bajo,95.0,24.3
24,6.0,1,0,1.0,1.0,0.0,Baja California,BC,3769020,38421,10.19,17.9,40.1,39.8,79234,28.5,-1.142,Muy Bajo,93.2,18.4
45,3.5,1,0,1.0,2.0,1.5681027121689617,Queretaro,QRO,2368467,28543,12.05,18.1,40.5,38.2,72134,29.5,-0.832,Bajo,79.8,27.6
24,3.5,2,0,1.0,1.0,4.837452879315845,Puebla,PUE,6583278,86160,13.09,17.4,37.8,38.5,52341,33.8,0.789,Alto,72.1,54.0
35,3.5,2,0,1.0,1.0,4.451621922352122,Hidalgo,HGO,3082841,40876,13.26,17.9,37.4,38.7,52341,33.5,0.521,Alto,53.2,46.5
24,3.5,2,0,1.0,3.0,5.708255374223486,Puebla,PUE,6583278,86160,13.09,17.4,37.8,38.5,52341,33.8,0.789,Alto,72.1,54.0
24,3.5,2,0,0.5,4.0,7.0,Guerrero,GRO,3540685,52341,14.78,16.5,33.8,35.7,40234,42.8,2.123,Muy Alto,58.4,65.2
24,3.5,2,0,1.0,3.0,1.583943837691759,Jalisco,JAL,8348151,89234,10.69,18.4,40.5,38.6,72145,29.4,-0.945,Bajo,87.1,30.4
24,6.0,2,0,1.0,3.0,3.286939235642441,Aguascalientes,AGS,1425607,18234,12.79,18.5,42.3,38.5,69842,30.2,-0.973,Bajo,82.1,21.8
24,3.5,0,0,1.0,2.0,4.793430638241268,Hidalgo,HGO,3082841,40876,13.26,17.9,37.4,38.7,52341,33.5,0.521,Alto,53.2,46.5
24,6.0,1,0,1.0,4.0,5.774868844353743,San Luis Potosi,SLP,2822255,38453,13.63,18.5,40.2,38.5,55456,32.3,0.321,Medio,67.5,34.7
24,1.5,2,0,1.0,3.0,3.2217334865358387,Aguascalientes,AGS,1425607,18234,12.79,18.5,42.3,38.5,69842,30.2,-0.973,Bajo,82.1,21.8
24,1.5,1,0,1.0,4.0,5.478129613895195,Guanajuato,GTO,6166934,78432,12.72,17.8,39.2,38.1,57892,32.4,0.123,Medio,73.5,38.4
24,3.5,2,0,1.0,2.0,2.352617834047865,Chihuahua,CHIH,3741869,42876,11.46,18.9,43.5,39.8,71543,29.8,-0.654,Bajo,84.5,22.3
24,0.0,2,0,1.0,2.0,5.303508297952311,Puebla,PUE,6583278,86160,13.09,17.4,37.8,38.5,52341,33.8,0.789,Alto,72.1,54.0
35,0.0,2,0,1.0,2.0,2.8733568007889665,Aguascalientes,AGS,1425607,18234,12.79,18.5,42.3,38.5,69842,30.2,-0.973,Bajo,82.1,21.8
24,6.0,2,0,1.0,3.0,1.5168055464185488,Sonora,SON,2944840,29854,10.14,19.2,43.5,40.1,72345,29.2,-0.823,Bajo,87.1,27.9
24,0.0,2,0,0.5,3.0,3.8709594532546547,Aguascalientes,AGS,1425607,18234,12.79,18.5,42.3,38.5,69842,30.2,-0.973,Bajo,82.1,21.8
24,3.5,1,0,1.0,3.0,3.4207222804697754,Colima,COL,731391,9543,13.05,18.7,41.2,38.5,67234,30.8,-0.512,Bajo,89.2,21.7
24,1.5,1,0,1.0,4.0,0.005908043030479704,Nuevo Leon,NL,5784442,52341,9.05,18.7,42.4,40.2,98452,26.8,-1.483,Muy Bajo,95.0,24.3
24,3.5,2,0,1.0,3.0,2.3975968880788603,Estado de Mexico,EDOMEX,16992418,185069,10.89,18.6,38.4,40.2,68754,31.5,-0.578,Bajo,87.3,40.5
24,6.0,1,0,1.0,1.0,4.449429587010398,Puebla,PUE,6583278,86160,13.09,17.4,37.8,38.5,52341,33.8,0.789,Alto,72.1,54.0
24,1.5,0,0,1.0,3.0,6.142408837998959,Hidalgo,HGO,3082841,40876,13.26,17.9,37.4,38.7,52341,33.5,0.521,Alto,53.2,46.5
24,6.0,2,0,0.5,3.0,1.7126842801322506,Chihuahua,CHIH,3741869,42876,11.46,18.9,43.5,39.8,71543,29.8,-0.654,Bajo,84.5,22.3
24,1.5,1,0,0.5,3.0,4.225526846835721,Guanajuato,GTO,6166934,78432,12.72,17.8,39.2,38.1,57892,32.4,0.123,Medio,73.5,38.4
24,3.5,1,0,1.0,3.0,4.378747112402227,Guanajuato,GTO,6166934,78432,12.72,17.8,39.2,38.1,57892,32.4,0.123,Medio,73.5,38.4
16,6.0,1,0,1.0,3.0,2.0571854839823054,Sonora,SON,2944840,29854,10.14,19.2,43.5,40.1,72345,29.2,-0.823,Bajo,87.1,27.9
24,0.0,1,0,1.0,2.0,3.7515997641438803,Estado de Mexico,EDOMEX,16992418,185069,10.89,18.6,38.4,40.2,68754,31.5,-0.578,Bajo,87.3,40.5
24,1.5,2,0,1.0,4.0,2.525217066247431,Sonora,SON,2944840,29854,10.14,19.2,43.5,40.1,72345,29.2,-0.823,Bajo,87.1,27.9
24,3.5,2,0,1.0,2.0,3.70223519473703,Guanajuato,GTO,6166934,78432,12.72,17.8,39.2,38.1,57892,32.4,0.123,Medio,73.5,38.4
24,1.5,1,0,1.0,3.0,3.076831707691694,Estado de Mexico,EDOMEX,16992418,185069,10.89,18.6,38.4,40.2,68754,31.5,-0.578,Bajo,87.3,40.5
24,1.5,2,0,1.0,5.0,3.8458422057638235,Queretaro,QRO,2368467,28543,12.05,18.1,40.5,38.2,72134,29.5,-0.832,Bajo,79.8,27.6
24,3.5,2,0,1.0,3.0,2.7922588540395346,Quintana Roo,QROO,1857985,18234,9.81,17.2,38.5,38.7,68234,30.5,-0.456,Bajo,89.4,27.6
24,6.0,1,0,1.0,4.0,3.4897064992029634,Chihuahua,CHIH,3741869,42876,11.46,18.9,43.5,39.8,71543,29.8,-0.654,Bajo,84.5,22.3
24,1.5,1,0,1.0,3.0,3.304822862125648,Estado de Mexico,EDOMEX,16992418,185069,10.89,18.6,38.4,40.2,68754,31.5,-0.578,Bajo,87.3,40.5
24,1.5,1,0,1.0,4.0,0.8748346501515685,Ciudad de Mexico,CDMX,9209944,86227,9.36,17.5,35.7,38.4,98765,27.3,-1.452,Muy Bajo,99.8,21.1
24,0.0,2,0,0.0,2.0,4.605763164507874,Durango,DGO,1832650,25634,13.99,18.4,40.5,38.9,58923,32.1,-0.234,Medio,69.8,31.8
24,1.5,2,0,1.0,3.0,3.2097763258090213,Sinaloa,SIN,3026943,32145,10.62,18.9,41.8,39.5,65432,30.8,-0.521,Bajo,76.5,22.5
24,1.5,2,0,1.0,2.0,5.3363302403491915,Hidalgo,HGO,3082841,40876,13.26,17.9,37.4,38.7,52341,33.5,0.521,Alto,53.2,46.5
24,1.5,0,0,1.0,5.0,5.54976493301949,Guanajuato,GTO,6166934,78432,12.72,17.8,39.2,38.1,57892,32.4,0.123,Medio,73.5,38.4
16,0.0,1,0,1.0,2.0,2.6304876620530915,Chihuahua,CHIH,3741869,42876,11.46,18.9,43.5,39.8,71543,29.8,-0.654,Bajo,84.5,22.3
16,3.5,1,0,1.0,5.0,3.6018213831970054,Estado de Mexico,EDOMEX,16992418,185069,10.89,18.6,38.4,40.2,68754,31.5,-0.578,Bajo,87.3,40.5
