age,cooking_freq,work_type,is_parent,willingness_change,fast_cheap_pref,junk_food_freq
16,3.5,1,0,1.0,5.0,1.0
24,1.5,1,0,1.0,3.0,2.5
24,1.5,1,0,1.0,3.0,0.25
24,1.5,1,0,1.0,4.0,2.5
24,1.5,2,0,1.0,4.0,2.5
24,3.5,2,0,1.0,3.0,7.0
24,3.5,1,0,1.0,2.0,2.5
24,0.0,1,0,1.0,3.0,0.25
24,1.5,1,0,1.0,3.0,1.0
24,6.0,1,0,1.0,4.0,1.0
24,6.0,1,0,1.0,3.0,2.5
16,1.5,1,0,0.5,1.0,2.5
24,1.5,1,0,1.0,2.0,1.0
24,1.5,1,0,1.0,2.0,2.5
24,3.5,1,0,1.0,3.0,1.0
24,0.0,1,0,0.5,5.0,7.0
16,6.0,1,0,1.0,3.0,1.0
24,6.0,2,0,1.0,2.0,2.5
24,6.0,1,0,1.0,3.0,2.5
24,1.5,1,0,1.0,2.0,1.0
24,1.5,1,0,1.0,3.0,1.0
24,1.5,2,0,1.0,4.0,1.0
24,6.0,1,0,1.0,1.0,1.0
24,1.5,2,0,1.0,3.0,2.5
24,1.5,0,0,1.0,2.0,2.5
35,1.5,2,0,0.0,1.0,0.25
58,3.5,2,0,0.0,2.0,0.25
24,6.0,2,0,1.0,3.0,1.0
24,3.5,2,0,1.0,2.0,2.5
24,6.0,1,0,1.0,3.0,1.0
24,6.0,1,0,1.0,1.0,1.0
45,3.5,1,0,1.0,2.0,2.5
24,3.5,2,0,1.0,1.0,1.0
35,3.5,2,0,1.0,1.0,7.0
24,3.5,2,0,1.0,3.0,1.0
24,3.5,2,0,0.5,4.0,1.0
24,3.5,2,0,1.0,3.0,2.5
24,6.0,2,0,1.0,3.0,1.0
24,3.5,0,0,1.0,2.0,2.5
24,6.0,1,0,1.0,4.0,1.0
24,1.5,2,0,1.0,3.0,1.0
24,1.5,1,0,1.0,4.0,2.5
24,3.5,2,0,1.0,2.0,2.5
24,0.0,2,0,1.0,2.0,1.0
35,0.0,2,0,1.0,2.0,2.5
24,6.0,2,0,1.0,3.0,1.0
24,0.0,2,0,0.5,3.0,2.5
24,3.5,1,0,1.0,3.0,2.5
24,1.5,1,0,1.0,4.0,2.5
24,3.5,2,0,1.0,3.0,1.0
24,6.0,1,0,1.0,1.0,1.0
24,1.5,0,0,1.0,3.0,2.5
24,6.0,2,0,0.5,3.0,2.5
24,1.5,1,0,0.5,3.0,1.0
24,3.5,1,0,1.0,3.0,2.5
16,6.0,1,0,1.0,3.0,1.0
24,0.0,1,0,1.0,2.0,1.0
24,1.5,2,0,1.0,4.0,1.0
24,3.5,2,0,1.0,2.0,1.0
24,1.5,1,0,1.0,3.0,1.0
24,1.5,2,0,1.0,5.0,2.5
24,3.5,2,0,1.0,3.0,7.0
24,6.0,1,0,1.0,4.0,7.0
24,1.5,1,0,1.0,3.0,1.0
24,1.5,1,0,1.0,4.0,2.5
24,0.0,2,0,0.0,2.0,0.25
24,1.5,2,0,1.0,3.0,7.0
24,1.5,2,0,1.0,2.0,1.0
24,1.5,0,0,1.0,5.0,7.0
16,0.0,1,0,1.0,2.0,1.0
16,3.5,1,0,1.0,5.0,1.0
24,1.5,1,0,1.0,3.0,2.5
24,1.5,0,0,1.0,3.0,0.25
24,1.5,1,0,1.0,4.0,2.5
24,1.5,2,0,1.0,4.0,2.5
24,3.5,2,0,1.0,3.0,7.0
24,3.5,1,0,1.0,2.0,2.5
24,0.0,0,0,1.0,3.0,0.25
24,1.5,1,0,1.0,3.0,1.0
24,6.0,1,0,1.0,4.0,1.0
24,6.0,1,0,1.0,3.0,2.5
16,1.5,0,0,0.5,1.0,2.5
24,1.5,0,0,1.0,2.0,1.0
24,1.5,1,0,1.0,2.0,2.5
24,3.5,1,0,1.0,3.0,1.0
24,0.0,0,0,0.5,5.0,7.0
16,6.0,1,0,1.0,3.0,1.0
24,6.0,3,0,1.0,2.0,2.5
24,6.0,1,0,1.0,3.0,2.5
24,1.5,1,0,1.0,2.0,1.0
24,1.5,2,0,1.0,3.0,1.0
24,1.5,2,0,1.0,4.0,1.0
24,6.0,0,0,1.0,1.0,1.0
24,1.5,2,0,1.0,3.0,2.5
24,1.5,0,0,1.0,2.0,2.5
35,1.5,2,0,0.0,1.0,0.25
58,3.5,2,0,0.0,2.0,0.25
24,6.0,2,0,1.0,3.0,1.0
24,3.5,2,0,1.0,2.0,2.5
24,6.0,1,0,1.0,3.0,1.0
24,6.0,2,0,1.0,1.0,1.0
45,3.5,1,0,1.0,2.0,2.5
24,3.5,2,0,1.0,1.0,1.0
35,3.5,2,0,1.0,1.0,7.0
24,3.5,2,0,1.0,3.0,1.0
24,3.5,2,0,0.5,4.0,1.0
24,3.5,2,0,1.0,3.0,2.5
24,6.0,2,0,1.0,3.0,1.0
24,3.5,0,0,1.0,2.0,2.5
24,6.0,1,0,1.0,4.0,1.0
24,1.5,2,0,1.0,3.0,1.0
24,1.5,1,0,1.0,4.0,2.5
24,3.5,2,0,1.0,2.0,2.5
24,0.0,2,0,1.0,2.0,1.0
35,0.0,3,0,1.0,2.0,2.5
24,6.0,2,0,1.0,3.0,1.0
24,0.0,2,0,0.5,3.0,2.5
24,3.5,1,0,1.0,3.0,2.5
24,1.5,0,0,1.0,4.0,2.5
24,3.5,2,0,1.0,3.0,1.0
24,6.0,1,0,1.0,1.0,1.0
24,1.5,0,0,1.0,3.0,2.5
24,6.0,2,0,0.5,3.0,2.5
24,1.5,1,0,0.5,3.0,1.0
24,3.5,1,0,1.0,3.0,2.5
16,6.0,0,0,1.0,3.0,1.0
24,0.0,2,0,1.0,2.0,1.0
24,1.5,2,0,1.0,4.0,1.0
24,3.5,2,0,1.0,2.0,1.0
24,1.5,1,0,1.0,3.0,1.0
24,1.5,2,0,1.0,5.0,2.5
24,3.5,2,0,1.0,3.0,7.0
24,6.0,1,0,1.0,4.0,7.0
24,1.5,0,0,1.0,3.0,1.0
24,1.5,1,0,1.0,4.0,2.5
24,0.0,2,0,0.0,2.0,0.25
24,1.5,2,0,1.0,3.0,7.0
24,1.5,2,0,1.0,2.0,1.0
24,1.5,0,0,1.0,5.0,7.0
16,0.0,2,0,1.0,2.0,1.0
