Id,Hora de inicio,Hora de finalización,Correo electrónico,Nombre,Edad,¿En que tipo de trabajo estas involucrado/a?,¿Eres padre/madre?,"Si contestaste que si a la pregunta anterior, eres padre/madre soltero/a",¿Cuantas veces a la semana tienes tiempo suficiente para cocinar en casa,¿Por que no cocinas con frecuencia?,"¿Que tan seguido compras comida rápida o procesada (refrescos, dulces, snack, etc.) en tiendas de abarrotes?","Cuando compra snacks o alimentos para consumo inmediato, ¿qué suele priorizar?
","¿En qué situaciones la comida rápida se siente como la única opción viable para ti
","Qué tan de acuerdo está con la siguiente frase? 'Para mí es más importante saciar el hambre rápido y barato que buscar la opción más nutritiva'.
",Cuando piensas en preparar una comida saludable en casa ¿Que es lo primero que te desmotiva?,¿Estarias dispuesto/a a cambiar tus hábitos alimenticios si tuvieras mas tiempo o recursos?,¿Que soluciones crees que podrían ayudar a mejorar los hábitos alimenticios de tu familia?,"¿Estarías interesado/a en recibir ayuda o recursos sobre cómo mejorar la alimentación en tu hogar?
", ¿Por qué no cocinas con frecuencia?,"¿Qué tan seguido compras comida rápida o procesada (refrescos, dulces, snacks, etc.) en tiendas de abarrotes?  ",¿A menudo le das dinero a tus hijos/as para que compren comida en tiendas de abarrotes?,"Si le das dinero a tus hijos/as, ¿Que tipo de alimentos suelen comprar?",¿Qué tan preocupado/a estás por el impacto de una dieta poco saludable en tus hijos/as?  ,Haz notado algún cambio en la salud de tus hijos/as debido a una mala alimentación,¿Estarias dispuesto/a a cambiar tus hábitos alimenticios si tuvieras mas tiempo o recursos?1,¿Que soluciones crees que podrían ayudar a mejorar los hábitos alimenticios de tu familia?1,¿Estarias interesado/a en recibir ayuda o recursos sobre  como mejorar la alimentación en tu hogar?,"En su hogar, ¿quién es principalmente la persona que decide y prepara la comida para sus hijos?","Siendo padre/madre soltero, ¿con qué frecuencia siente que el tiempo disponible limita su capacidad para preparar comidas caseras?",¿cree que su condición de padre/madre soltero influye en...? ....la frecuencia con la que sus hijos consumen comida rápida?,¿cree que su condición de padre/madre soltero influye en...? ....el presupuesto semanal destinado a la alimentación?,¿cree que su condición de padre/madre soltero influye en...? ....la variedad de alimentos saludables en su dieta familiar?,¿Cuáles son los factores principales que hacen más difícil mantener una alimentación equilibrada en su situación?,"¿Qué tipo de apoyo o soluciones cree que serían mas útiles para mejorar la alimentación en su hogar?
","¿Estarías interesado/a en recibir ayuda o recursos sobre cómo mejorar la alimentación en tu hogar?

"
1,12/14/2025 19:37,12/14/2025 19:38,anonymous,,Menor de 18 años ,escuela,No,,3-4 veces,Prefiero comprar comida ya preparada;,Una vez a la semana ,Conveniencia y rapidez;La marca y sabor;,Después de trabajar tarde;Fines de semana;,Muy de acuerdo,La planificacion,Si,Menos horas de trabajo;,Si,,,,,,,,,,,,,,,,,
2,12/14/2025 19:37,12/14/2025 19:38,anonymous,,18-30,Estudiante,No,,1-2 veces,No tengo tiempo debido al trabajo ;No me gusta cocinar;Prefiero comprar comida ya preparada;,2-3 veces a la semana,Precio bajo;La marca y sabor;,Después de trabajar tarde;Fines de semana;,Neutral,Comprar los ingredientes,Si,Mayor acceso a alimentos saludables y económicos ;,No,,,,,,,,,,,,,,,,,
3,12/14/2025 19:44,12/14/2025 19:45,anónimo,,31-40,Abogado,Si,No,,,,,,,,,,,No me gusta cocinar ;Prefiero comprar comida ya preparada,Diario,Si,Galletas y dulces ;Bebidas azucaradas,Algo preocupado,No,Si,Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,
4,12/14/2025 19:43,12/14/2025 19:46,anónimo,,18-30,Ninguno,No,,1-2 veces,No tengo tiempo debido a la universidad.,Una vez al mes,La marca y sabor;Mis preferencias en gustos,Fines de semana;Después de trabajar tarde,Neutral,El precio de los ingredientes,Si,Mayor acceso a alimentos saludables y económicos ,Tal vez,,,,,,,,,,,,,,,,,
5,12/14/2025 20:12,12/14/2025 20:15,anónimo,,18-30,Estudiante ,No,,1-2 veces,No tengo tiempo debido al trabajo ,2-3 veces a la semana,Precio bajo;La marca y sabor,Reuniones con familiares/amigos,De acuerdo,Comprar los ingredientes,Si,Mayor acceso a alimentos saludables y económicos ;Menos horas de trabajo,Tal vez,,,,,,,,,,,,,,,,,
6,12/14/2025 20:17,12/14/2025 20:22,anónimo,,18-30,Educación ,No,,1-2 veces,No tengo tiempo debido al trabajo ,2-3 veces a la semana,La marca y sabor;Conveniencia y rapidez;Precio bajo,Después de trabajar tarde;Fines de semana;Reuniones con familiares/amigos,De acuerdo,Comprar los ingredientes,Si,Menos horas de trabajo,Si,,,,,,,,,,,,,,,,,
7,12/14/2025 20:19,12/14/2025 20:24,anónimo,,31-40,Tecnologías de información ,Si,No,,,,,,,,,,,No tengo tiempo debido al trabajo,2-3 veces a la semana ,No,Bebidas azucaradas,Algo preocupado,"Si, problemas de peso",Si,Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,
8,12/14/2025 20:22,12/14/2025 20:25,anónimo,,18-30,De entretenimiento ,No,,3-4 veces,No tengo tiempo debido al trabajo ,Diario,La marca y sabor,Después de trabajar tarde;Reuniones con familiares/amigos,Neutral,Comprar los ingredientes,Si,Mayor acceso a alimentos saludables y económicos ;Programas de educación sobre nutricion,Tal vez,,,,,,,,,,,,,,,,,
9,12/14/2025 20:32,12/14/2025 20:34,anónimo,,18-30,Estudiante ,No,,3-4 veces,No me gusta cocinar,2-3 veces a la semana,Conveniencia y rapidez,Reuniones con familiares/amigos,En desacuerdo,Comprar los ingredientes,Si,Menos horas de trabajo,Si,,,,,,,,,,,,,,,,,
10,12/14/2025 20:37,12/14/2025 20:39,anónimo,,18-30,Ninguno,No,,Nunca,No puedo estudio,Una vez al mes,La marca y sabor,Después de trabajar tarde,Neutral,Comprar los ingredientes,Si,Programas de educación sobre nutricion,Tal vez,,,,,,,,,,,,,,,,,
