Estado,Codigo,Poblacion,Abarrotes_DENUE,Densidad_Tiendas_per_1000,Diabetes_Prevalencia,Obesidad_Prevalencia,Sobrepeso_Prevalencia,Ingreso_Promedio_Trimestral,Gasto_Alimentos_Pct,Indice_Marginacion,Grado_Marginacion,Pct_Urbano,Tasa_Pobreza
Aguascalientes,AGS,1425607,18234,12.79,18.5,42.3,38.5,69842,30.2,-0.973,Bajo,82.1,21.8
Baja California,BC,3769020,38421,10.19,17.9,40.1,39.8,79234,28.5,-1.142,Muy Bajo,93.2,18.4
Baja California Sur,BCS,798447,9876,12.37,16.8,38.5,37.2,76521,29.1,-0.823,Bajo,86.5,19.2
Campeche,CAM,928363,12453,13.41,19.2,41.8,38.9,55432,33.4,0.165,Medio,75.3,38.5
Chiapas,CHIS,5543828,72341,13.05,15.8,32.4,34.5,42183,40.2,2.385,Muy Alto,49.2,75.5
Chihuahua,CHIH,3741869,42876,11.46,18.9,43.5,39.8,71543,29.8,-0.654,Bajo,84.5,22.3
Ciudad de Mexico,CDMX,9209944,86227,9.36,17.5,35.7,38.4,98765,27.3,-1.452,Muy Bajo,99.8,21.1
Coahuila,COAH,3146771,32145,10.22,19.1,42.7,40.1,73289,29.5,-0.875,Bajo,89.7,17.5
Colima,COL,731391,9543,13.05,18.7,41.2,38.5,67234,30.8,-0.512,Bajo,89.2,21.7
Durango,DGO,1832650,25634,13.99,18.4,40.5,38.9,58923,32.1,-0.234,Medio,69.8,31.8
Estado de Mexico,EDOMEX,16992418,185069,10.89,18.6,38.4,40.2,68754,31.5,-0.578,Bajo,87.3,40.5
Guanajuato,GTO,6166934,78432,12.72,17.8,39.2,38.1,57892,32.4,0.123,Medio,73.5,38.4
Guerrero,GRO,3540685,52341,14.78,16.5,33.8,35.7,40234,42.8,2.123,Muy Alto,58.4,65.2
Hidalgo,HGO,3082841,40876,13.26,17.9,37.4,38.7,52341,33.5,0.521,Alto,53.2,46.5
Jalisco,JAL,8348151,89234,10.69,18.4,40.5,38.6,72145,29.4,-0.945,Bajo,87.1,30.4
Michoacan,MICH,4748846,68543,14.43,17.5,38.6,38.4,49876,34.2,0.687,Alto,69.8,42.9
Morelos,MOR,1971520,28765,14.59,18.2,39.8,38.3,58432,33.1,-0.183,Medio,84.5,46.1
Nayarit,NAY,1235456,16234,13.14,17.8,40.1,37.9,55234,32.5,-0.087,Medio,69.3,33.8
Nuevo Leon,NL,5784442,52341,9.05,18.7,42.4,40.2,98452,26.8,-1.483,Muy Bajo,95.0,24.3
Oaxaca,OAX,4132148,68543,16.59,16.2,32.5,34.8,42345,41.5,2.165,Muy Alto,49.8,61.7
Puebla,PUE,6583278,86160,13.09,17.4,37.8,38.5,52341,33.8,0.789,Alto,72.1,54.0
Queretaro,QRO,2368467,28543,12.05,18.1,40.5,38.2,72134,29.5,-0.832,Bajo,79.8,27.6
Quintana Roo,QROO,1857985,18234,9.81,17.2,38.5,38.7,68234,30.5,-0.456,Bajo,89.4,27.6
San Luis Potosi,SLP,2822255,38453,13.63,18.5,40.2,38.5,55456,32.3,0.321,Medio,67.5,34.7
Sinaloa,SIN,3026943,32145,10.62,18.9,41.8,39.5,65432,30.8,-0.521,Bajo,76.5,22.5
Sonora,SON,2944840,29854,10.14,19.2,43.5,40.1,72345,29.2,-0.823,Bajo,87.1,27.9
Tabasco,TAB,2402598,32145,13.38,18.4,42.1,38.9,52341,33.5,0.234,Medio,57.1,46.5
Tamaulipas,TAMPS,3527735,35654,10.11,18.7,41.5,39.4,67542,30.4,-0.812,Bajo,87.6,31.3
Tlaxcala,TLAX,1342977,18234,13.58,17.5,38.4,38.1,49231,33.8,0.198,Medio,79.8,48.0
Veracruz,VER,8062579,108543,13.46,17.2,37.5,38.4,48345,34.5,1.123,Alto,61.3,51.9
Yucatan,YUC,2320898,28765,12.39,19.5,42.1,39.5,54321,32.8,-0.123,Medio,84.1,40.3
Zacatecas,ZAC,1622138,22341,13.77,17.8,39.5,38.2,51234,33.5,0.456,Alto,59.2,40.0
