Estado,Abarrotes_DENUE_2024,Poblacion_2020,Densidad_por_1000
Aguascalientes,18234,1425607.0,12.79
Baja California,38421,3769020.0,10.19
Baja California Sur,9876,798447.0,12.37
Campeche,12453,928363.0,13.41
Chiapas,72341,5543828.0,13.05
Chihuahua,42876,3741869.0,11.46
Ciudad de Mexico,86227,9209944.0,9.36
Coahuila,32145,3146771.0,10.22
Colima,9543,731391.0,13.05
Durango,25634,1832650.0,13.99
Estado de Mexico,185069,16992418.0,10.89
Guanajuato,78432,6166934.0,12.72
Guerrero,52341,3540685.0,14.78
Hidalgo,40876,3082841.0,13.26
Jalisco,89234,8348151.0,10.69
Michoacan,68543,4748846.0,14.43
Morelos,28765,1971520.0,14.59
Nayarit,16234,1235456.0,13.14
Nuevo Leon,52341,5784442.0,9.05
Oaxaca,68543,4132148.0,16.59
Puebla,86160,6583278.0,13.09
Queretaro,28543,2368467.0,12.05
Quintana Roo,18234,1857985.0,9.81
San Luis Potosi,38453,2822255.0,13.62
Sinaloa,32145,3026943.0,10.62
Sonora,29854,2944840.0,10.14
Tabasco,32145,2402598.0,13.38
Tamaulipas,35654,3527735.0,10.11
Tlaxcala,18234,1342977.0,13.58
Veracruz,108543,8062579.0,13.46
Yucatan,28765,2320898.0,12.39
Zacatecas,22341,1622138.0,13.77
