"ID","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"6364399","50HQX PASEO DE LAS FLORES II MTY","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","AVENIDA","AVENIDA DEL COLECTOR","CALLE","ESLOVENIA","CALLE","NÁPOLES","CALLE","ROMA","2992",,,,,,"COLONIA","PASEO DE LAS FLORES",,,,"66643","19","NUEVO LEÓN   ","006","Apodaca","0001","Ciudad Apodaca","2378","001",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","25.75834964","-100.13595511","2014-12"
"6373612","50IPJ VILLAS DE SANTA ROSA MTY","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","CALLE","Paseo de las Flores","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","0",,,,"0",,"COLONIA","VILLAS DE SANTA ROSA",,,,"66610","19","NUEVO LEÓN   ","006","Apodaca","0388","Ex-Hacienda Santa Rosa","2397","010",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","25.80546235","-100.21969935","2010-07"
"6364460","50JBJ-NOGALES DE SAN FRANCISCO MTY","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","CALLE","GRULLA","CALLE","FRANCISCANOS","CALLE","SAN FRANCISCO DE ASÍS","CALLE","GUACAMAYA","201",,,,,,"COLONIA","VILLAS DE SAN FRANCISCO",,,,"66062","19","NUEVO LEÓN   ","021","General Escobedo","0001","Ciudad General Escobedo","1605","029",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","25.84245247","-100.36760411","2014-12"
"6781228","50JS0 MERCADO DE ABASTOS MTY","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","AVENIDA","LOS ÁNGELES","AVENIDA","SAN NICOLÁS","AVENIDA","DIEGO DIAZ DE BERLANGA","AVENIDA",,"2220",,,,,,"COLONIA","DEL NORTE",,,,"64500","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","0847","014",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","25.71232443","-100.29527187","2017-03"
"6367759","50KBJ JUAREZ ZCL","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","AVENIDA","TORRES NORTE","AVENIDA","RIO CELESTE","AVENIDA","RIO SUCHIATE","AVENIDA","TONALA","400",,,,,,"COLONIA","BOSQUES DE LA HUASTECA",,,,"66354","19","NUEVO LEÓN   ","048","Santa Catarina","0001","Ciudad Santa Catarina","1539","008",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","25.69965122","-100.5026503","2014-12"
"6848314","50O8S PORTAL DE BUSTAMANTE MTY","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","AVENIDA","PORTAL LINCOLN","CALLE","PORTAL DE BUSTAMANTE","CALLE","PORTAL DE ARTEAGA","CALLE","PORTAL NOGALES","747",,,,,,"COLONIA","PORTAL DE LINCOLN",,,,"66025","19","NUEVO LEÓN   ","018","García","0001","García","1370","011",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","25.80400974","-100.5429708","2018-03"
"6367702","50TJX JARDINES DE LA PRIMAVERA MTY","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","CALLE","Jardines de la Primavera","CALLE","JARDINES DEL ROBLE","CALLE","JARDINES DEL SOL","CALLE","DE LA PRIMAVERA","230",,,,"0",,"COLONIA","JARDINES DE MONTERREY I",,,,"66613","19","NUEVO LEÓN   ","006","Apodaca","0001","Ciudad Apodaca","1219","042",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","25.80984285","-100.25858505","2010-07"
"6854988","50XZE BOSQUESDELOSNOGALESMTY","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","CALLE","NOGALES","CALLE","ALMENDRA","CALLE","GARDENIA","CALLE","CAPUCHINAS","703",,,,,,"COLONIA","BOSQUES DE LOS NOGALES",,,,"65515","19","NUEVO LEÓN   ","045","Salinas Victoria","0559","Bosques de los Nogales","0168","058",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","25.89152985","-100.26311955","2020-04"
"6848403","50Z49 RINCON DE LA MORALEJA MTY","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","AVENIDA","VALLE DEL MEZQUITAL","AVENIDA","VALLE VERDE","AVENIDA","CARLOS SALINAS DE GORTARI","AVENIDA",,"300",,,,,,"COLONIA","RINCON DE LA MORALEJA",,,,"66632","19","NUEVO LEÓN   ","006","Apodaca","0001","Ciudad Apodaca","0206","068",,"ATENCIONCLIENTES@OXXO.COM","WWW.OXXO.COM","Fijo","25.75029729","-100.22832435","2018-03"
"3047102","ABARROTES SAVEEDO","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","CALLE","PERSICARIA","AVENIDA","LAS ROCAS","CALLE","MIRABEL","CALLE","PERSICARIA","804",,,,,,"COLONIA","FOMERREY 109",,,,"64106","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","4695","024",,,,"Fijo","25.76236875","-100.3862514","2010-07"
