Estado,Ingreso_Trimestral_MXN,Gasto_Alimentos_Pct
Aguascalientes,69842,40.1
Baja California,79234,35.4
Baja California Sur,91417,29.3
Campeche,62502,43.7
Chiapas,39845,50.0
Chihuahua,71543,39.2
Ciudad de Mexico,89310,30.3
Coahuila,73289,38.4
Colima,67234,41.4
Durango,65609,42.2
Estado de Mexico,73787,38.1
Guanajuato,68434,40.8
Guerrero,41754,50.0
Hidalgo,62942,43.5
Jalisco,72145,38.9
Michoacan,64628,42.7
Morelos,69439,40.3
Nayarit,62698,43.7
Nuevo Leon,98452,25.8
Oaxaca,46728,50.0
Puebla,61580,44.2
Queretaro,72134,38.9
Quintana Roo,73966,38.0
San Luis Potosi,65677,42.2
Sinaloa,65432,42.3
Sonora,72345,38.8
Tabasco,64520,42.7
Tamaulipas,67542,41.2
Tlaxcala,71693,39.2
Veracruz,55738,47.1
Yucatan,59727,45.1
Zacatecas,66563,41.7
