Estado,Region_ENSANUT,Diabetes_Pct,Obesidad_Pct,Sobrepeso_Pct,Pct_Urbano,Tasa_Pobreza_Pct
Aguascalientes,Centro-Occidente,18.2,37.2,38.4,67.4,41.0
Baja California,Noroeste,20.0,36.3,38.6,72.1,51.5
Baja California Sur,Noroeste,18.9,36.2,38.5,78.2,31.8
Campeche,Sur,16.8,36.4,38.3,63.8,49.0
Chiapas,Sur,17.2,38.9,38.4,52.4,59.9
Chihuahua,Noreste,20.7,37.6,39.1,68.3,46.7
Ciudad de Mexico,Centro,20.7,36.1,38.1,77.2,39.3
Coahuila,Noreste,21.0,37.7,38.3,69.1,42.0
Colima,Centro-Occidente,18.2,36.8,38.1,66.1,41.8
Durango,Noreste,21.0,36.9,38.2,65.3,48.5
Estado de Mexico,Centro,21.3,35.8,38.6,69.4,46.2
Guanajuato,Centro-Occidente,18.1,36.9,38.4,66.7,47.0
Guerrero,Sur,17.3,37.6,38.4,53.4,56.2
Hidalgo,Centro,20.8,36.9,38.3,64.0,51.8
Jalisco,Centro-Occidente,18.1,36.4,38.4,68.6,39.1
Michoacan,Centro-Occidente,18.1,37.7,38.3,64.8,49.4
Morelos,Centro,21.2,36.9,39.1,67.2,51.5
Nayarit,Noroeste,20.2,37.0,38.2,63.8,45.4
Nuevo Leon,Noreste,19.8,35.3,38.2,81.7,32.8
Oaxaca,Sur,17.0,38.2,39.2,55.9,55.2
Puebla,Centro,21.4,36.4,38.6,63.3,54.1
Queretaro,Centro-Occidente,17.8,36.7,38.7,68.6,40.0
Quintana Roo,Sur,16.0,36.9,38.1,69.5,40.1
San Luis Potosi,Centro-Occidente,18.5,37.3,38.0,65.3,45.4
Sinaloa,Noroeste,20.2,36.6,39.2,65.2,43.2
Sonora,Noroeste,20.2,36.1,38.7,68.7,44.3
Tabasco,Sur,16.5,37.4,38.7,64.8,50.2
Tamaulipas,Noreste,21.0,37.5,38.3,66.3,53.4
Tlaxcala,Centro,21.3,36.7,38.9,68.3,55.2
Veracruz,Sur,16.9,38.1,38.9,60.4,54.7
Yucatan,Sur,16.9,37.3,38.1,62.4,48.8
Zacatecas,Noreste,21.4,36.9,38.5,65.8,50.3
